code,description,category_code,unit,price_min,price_max,monthly_qty_min,monthly_qty_max
ACO-001,Bobina laminada a frio SAE 1006 1.2 mm,ACO,KG,5.80,7.00,40000,55000
ACO-002,Bobina laminada a quente 3.0 mm,ACO,KG,5.00,6.00,25000,35000
ACO-003,Chapa galvanizada 0.8 mm,ACO,KG,6.60,8.00,12000,18000
ACO-004,Barra redonda SAE 1045 Ø 40 mm,ACO,KG,6.40,7.80,9000,14000
ACO-005,Tubo de aço carbono 50 x 3 mm,ACO,M,32.00,45.00,400,700
ROL-001,Rolamento rígido de esferas 6205,ROL,UN,20.00,55.00,300,600
ROL-002,Rolamento rígido de esferas 6305,ROL,UN,34.00,85.00,150,300
ROL-003,Rolamento de rolos cônicos 30206,ROL,UN,48.00,120.00,120,250
ROL-004,Rolamento de agulhas NK 25/20,ROL,UN,40.00,95.00,80,160
ROL-005,Mancal de pedestal UCP 205,ROL,UN,45.00,110.00,40,90
FER-001,Inserto de metal duro CNMG 120408,FER,UN,22.00,70.00,800,1400
FER-002,Inserto de fresamento SEKT 1204,FER,UN,20.00,60.00,500,900
FER-003,Broca de metal duro Ø 10 mm,FER,UN,150.00,380.00,30,70
FER-004,Fresa de topo Ø 12 mm 4 cortes,FER,UN,180.00,420.00,25,60
FER-005,Macho de roscar M10,FER,UN,32.00,95.00,60,120
TIN-001,Tinta epóxi bicomponente,TIN,L,38.00,70.00,600,1000
TIN-002,Primer rico em zinco,TIN,L,50.00,85.00,300,600
TIN-003,Thinner industrial,TIN,L,11.00,18.00,400,800
TIN-004,Óleo de corte solúvel,TIN,L,14.00,26.00,500,900
TIN-005,Desengraxante industrial,TIN,L,8.00,15.00,400,700
EMB-001,Caixa de papelão ondulado 40 x 30 x 25 cm,EMB,UN,3.80,6.00,6000,10000
EMB-002,Palete de madeira PBR,EMB,UN,55.00,75.00,300,600
EMB-003,Filme stretch 500 mm (rolo),EMB,UN,30.00,48.00,100,200
EMB-004,Fita adesiva 48 mm x 100 m,EMB,UN,5.00,8.00,250,450
EMB-005,Saco plástico anticorrosivo VCI,EMB,UN,0.90,1.60,8000,15000
MAN-001,Contator tripolar 25 A,MAN,UN,120.00,260.00,10,25
MAN-002,Disjuntor tripolar 32 A,MAN,UN,55.00,120.00,10,25
MAN-003,Motor elétrico trifásico 5 cv,MAN,UN,1900.00,3300.00,1,3
MAN-004,Luva de proteção nitrílica,MAN,PR,6.00,12.00,300,600
MAN-005,Óculos de proteção,MAN,UN,5.00,14.00,80,160
MAN-006,Graxa industrial de lítio,MAN,KG,24.00,45.00,60,120
